"decimalLongitude","decimalLatitude","year","month","eventDate","scientificName","basisOfRecord","coordinateUncertaintyInMeters","institutionCode","decade"
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-116.80028,43.72556,1929,"9","1929-09-15","Epicauta normalis","PreservedSpecimen","1183","UMNH",1920
-111.635196,39.47241,1980,"8","1980-08-11","Epicauta normalis","PreservedSpecimen","3193","BYU",1980
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-111.861441,40.746266,1929,"7","1929-07-10","Epicauta normalis","PreservedSpecimen","15356","UMNH",1920
-111.83556,39.71028,1969,"6","1969-06-27","Epicauta normalis","PreservedSpecimen","3881","BYU",1960
-111.99255,39.41046,2006,"7","2006-07-11","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-109.344363,40.369685,1949,"7","1949-07-19","Epicauta normalis","PreservedSpecimen","1152","UMNH",1940
-103.838811,46.918347,1933,"7","1933-07-21","Epicauta normalis","PreservedSpecimen","1454","NMSU",1930
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.312361,40.328385,1953,"8","1953-08-09","Epicauta normalis","PreservedSpecimen","4604","BYU",1950
-112.801389,43.434167,2003,"7","2003-07-18","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-113.905009,41.348257,1995,"7","1995-07-29","Epicauta normalis","PreservedSpecimen","3036","BYU",1990
-106.798494,42.96224,2013,"8","2013-08-07","Epicauta normalis","PreservedSpecimen","101159","BYU",2010
-106.3319,43.1661,2013,"8","2013-08-06","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-109.178,39.9788,2015,"7","2015-07-12","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-105.937799,35.686975,1978,"8","1978-08-15","Epicauta normalis","PreservedSpecimen","12198","UNM",1970
-112.193053,40.760115,1949,"8","1949-08-09","Epicauta normalis","PreservedSpecimen","810","UMNH",1940
-111.496024,39.395492,1950,"7","1950-07-15","Epicauta normalis","PreservedSpecimen","1089","UMNH",1950
-111.861441,40.746266,1949,"7","1949-07-24","Epicauta normalis","PreservedSpecimen","15356","UMNH",1940
-70.883333,47.05,1997,"6","1997-06-15","Epicauta normalis","PreservedSpecimen","3036","BYU",1990
-111.785211,39.97551,1972,"6","1972-06-30","Epicauta normalis","PreservedSpecimen","2919","BYU",1970
-110.502495,44.583077,1929,"8","1929-08-04","Epicauta normalis","PreservedSpecimen","60911","UMNH",1920
-103.534444,44.196944,1996,"8","1996-08-25","Epicauta normalis","PreservedSpecimen",NA,"BYU",1990
-113.905009,41.348257,1995,"7","1995-07-29","Epicauta normalis","PreservedSpecimen","3036","BYU",1990
-111.592778,37.768611,2001,"7","2001-07-05","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-112.375778,39.519119,1946,"8","1946-08-08","Epicauta normalis","PreservedSpecimen","1077","UMNH",1940
-111.99335,39.41107,2006,"8","2006-08-23","Epicauta normalis","PreservedSpecimen",NA,"BYU",2000
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-109.58262,40.414511,2000,"6","2000-06-27","Epicauta normalis","PreservedSpecimen","6567","BYU",2000
-112.074167,40.535333,2013,"7","2013-07-12","Epicauta normalis","PreservedSpecimen",NA,"BYU",2010
-112.02056,40.69694,1926,"6","1926-06-27","Epicauta normalis","PreservedSpecimen","3036","UMNH",1920
-109.638875,40.922066,1959,"7","1959-07-27","Epicauta normalis","PreservedSpecimen","179","UMNH",1950
-111.658,40.2339,1966,"8","1966-08-21","Epicauta normalis","PreservedSpecimen","0","BYU",1960
-107.32194,39.54806,1932,"8","1932-08-00","Epicauta normalis","PreservedSpecimen","5751","BYU",1930
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-111.496024,39.395492,1950,"7","1950-07-15","Epicauta normalis","PreservedSpecimen","1089","UMNH",1950
-112.193053,40.760115,1950,"7","1950-07-23","Epicauta normalis","PreservedSpecimen","810","UMNH",1950
-112.392395,39.634939,1999,"7","1999-07-29","Epicauta normalis","PreservedSpecimen","3653","BYU",1990
